question,answer
"Had a total hip replacement in 2008, right hip is fine. Had other hip done in 2010. I have noticed a dark like bruise on my mid thigh in the last month or so and it burns quiet a bit. should I call and make apt to see ortho surgeon. It can get very sore if on my feet to long","Hi, As per the history I do not think this should be anything major. But it is always advised to get it physically checked by an orthopedist so if any doubts are there taking to major issue can get removed.  Usually bruises might occur post surgery but in the initial stages and not the latter stages. Also, the pain coming depends on how better the post hip replacement rehabilitation was performed.  Sometimes due to muscle weakness some people develop some pain due to wasting of muscles and over strain of it. But again with a physical examination by the orthopedist and exercise things go well. Hope I have answered your query. Let me know if I can assist you further. Jay In Chat Doctor."
"Hello, I have been having some troubled pains in my right ankle. It happens when I push lightly on it or extend my foot. Also, it is going throughout my whole leg and foot. And slowly is starting to happen on my left leg. Do you know what it might be?","Hello, Your symptoms could be related to a bulging disc in the lumbar vertebral column, which is causing irradiating nerve pain in the legs.  I would recommend consulting with your attending physician for a physical exam and an X-ray study of the lumbar vertebral column. Further tests may be needed. You should discuss with your doctor on the above issues. Hope I have answered your question. Let me know if I can assist you further."
What does the physical examination of liposarcoma entail?,"Physical examination findings will depend on the location of the liposarcoma. Physical examination findings can include hypotension, tachycardia, retropharyngeal mass, dysphonia, cervical lymphadenopathy, cough, atrial flutter, cardiac murmur, abdominal distension, ascites, abdominal mass, scrotal / inguinal / pelvic mass, decreased motor strength, and atrophy of the lower extremities."
"Hi, My mother feels sometimes Falling or feeling as if you are going to fall. Kind of a spinning from back to forward when she try to concentrate on some objects or when moving head. This is not all the time but she has been going through this since a long Time. Please advice","Hello, Fallung sensation can.be due to cervical spondylosis, BP or cardiac or due to anxiety issues. Get her blood pressure (sitting and lying down), ECG, X-Ray neck, to see if they are disturbed. Correcting the cause will surely help in. In case of normal reports, the cause is mist likely psychological. She should visit her GP or psychiatrist and needs to be interviewed in detail about the symptom.Don't worry, though it is a troublesome problem but can be managed nicely."
What to expect if I have Bruxism  (Outlook/Prognosis)?,"Bruxism is not a dangerous disorder. However, it can cause permanent damage to the teeth and uncomfortable jaw pain, headaches, or ear pain."
"I m 22 and male. I have a small (5*7) Becker nevus between my stomage and breast . It really annoys me so I want to get rid of it. What I heard from other people, Laser treatments are not really effective and complex. On the other hand I ve read from a lot of people that they got a Tattoo over their becker nevus and they are absolut happy with it. I also heard that Tattoo shouldn t be made over moles/nevus because after you can t see anymore if they change (for example cancer ). But I also heard that a becker nevus is a benign/innocent mole that shouldnt change into cancer. So I think the risk of getting a Tattoo over it should be small. What do you think?","Hi, Thanks for writing to us. Few lasers like q switched laser or ILL show good results in Becker nevus. However, a number of sessions might be required. If it's a small nevus and that too in covered area of body, it is better to leave it as such. How would tattooing the area enhance its beauty. If you get bored with the tattoo again you might have to get lasers done. Chances of a Becker nevus turning malignant is almost negligible. However, I would not advise tattooing the area as you said no change that may occur in nevi(even if It's highly unlikely) can be seen. Take care"
hi m ity wife is going to take ovamet to trying to get pregnant but a doctor say starting take on 5th day of the cykel but her friend had used it on the 1 day of the cykel and she say start take it on the 1 th day of cykel whats the right ting to do? chris,"Hi, Ovamet contain Camphene Citrate help to increase FSH and LH, induce ovulation and increase chance of pregnancy. There are several documented regimens regarding Ova met. The most common regimen is to take the Camphene (Closed) starting on day 5 after the start of menses for 5 days ending on day 9. Another regimen is to start on day 4 through 8 and a recent publication indicates the Closed can be taken on day 1 through day 5 with a very successful pregnancy rate. So regimen varies form doctor to doctor. You can follow your doctors advise and go for USG scan/ovarian follicle study for monitoring after taking it. Avoid stress, take healthy diet, Chat Doctor. Hope this may help you. Contact further if follow up needed. Best regards,"
"I am a college student and since sleeping on the dorm bed, I have had a lot of neck, shoulder, and back pain. I slept wrong upon returning home for break, which was about two weeks ago, and my neck has been hurting since then. What worries me is that last night I was rubbing my neck and felt a lump about the size of a dime, hard, and painful to the touch. What is this? Should I be worried?","Hi ! Good evening. I am Chat Doctor answering your query. If I were your doctor, I would counsel you not to get worried, and after a physical examination would advise you for some anti-inflammatory along with a proton pump inhibitor, and an broad spectrum antibiotic for a few days presuming that it is either an organized hematoma with super added bacterial infection or a bacterial lymphadenitis which might subside with this treatment. In case it does not subside or increases in size, I would go for a FNAC (fine needle aspiration cytology) of the lesion. Further management would depend on the histopathology report of the FNAC. I hope this information would help you in discussing with your family physician/treating doctor in further management of your problem. Please do not hesitate to ask in case of any further doubts. Thanks for choosing Chat Doctor to clear doubts on your health problems. Wishing you an early recovery. Chat Doctor."
"What are the typical features of Multi-infarct dementia, and how can it be visualized on imaging studies?","Multi-infarct dementia is the second most common cause of dementia and is characterized by the presence of cortical and lacunar infarcts in the brain. These infarcts can be seen on MRI and are typically located in the deep gray nuclei (such as the basal ganglia, especially the upper half of the putamen, thalamus, and caudate nuclei), internal capsule, pons, and deep and periventricular white matter. In addition to MRI, FDG-PET may also be used to visualize multi-infarct dementia, which typically appears as multiple scattered areas of decreased activity."
"which is good for me. i want preg as soon as possible 29yrs,pcod,irregular periods, taken three month course for pcod after that two months past doctor take USG but not found any major follicle in this. now she recommened another three month course with duloute -L and ebexid. what would you suggest? another doctor recommend ovulation induction drug i.e some clomipine type.?IS this safe for me i am confused .which doctor i had to follow? i want preg soon. if i choose induction drug method Is it solve my problem .otherwise one more month would be wasted.and then i have to follow three month course.",Hello Kyoto;welcome to Chat Doctor Duolute-L is a hormonal pill and is given to you to make your periods regular and treat POD.POD is one of the cause of infertility because most of the time the ovulation is absent or does not take place and in such cases the doctor advises camphene to induce ovulation. So if your POD is treated and your periods have become regular then you can take camphene for induction of ovulation. So finish your course of Duo lute and discuss with your doctor regarding the use of camphene and take it under the guidance of your doctor. Thanks
"Ive just had my second tooth fracture in one yeat, first one was corrected by implant very costly. iI have had my first consultation for recent fracture which is upper side dentist mentioned cantilever bIiiridge or implant  my question how successful is this type of bridge.I am 64 years of age medically fit however i take thyroxine 125mcg","Hello, Thank you for consulting with Chat Doctor. The cause of tooth fracture can be cavities, as they might be progressing from inside the tooth toward outside. But there is nothing to worry, as they can be restored by root canal treatment, but if the infection has progressed very deep then you have to go for removal of the tooth. Bridge is also a good option for replacement of tooth. Hope it will help you."
"Hello, I have some kind of pressure in my right upper leg. My parents both work in a hospital and they say that its nothing, it comes back alot of times though and Im starting to worry.. It hurts the most when I do something with it .. like walking or something.","Hi, dairy have gone through your question. I can understand your concern. You may have some muscular pain due to strain or spasm. You should take muscle relaxant and analgesic. If your pain is not relieved then you should go for examination. Consult your doctor and take treatment accordingly. Hope I have answered your question, if you have any doubts then contact me at bit.ly/ Chat Doctor. Thanks for using Chat Doctor. Wish you a very good health."
hello docmy sister is just 29 years old and unmarried.She finds a small lump in her breast when she moves her fingers over the breasts.Last year she reported some pale yellow discharge from both her breasts.On diagnosis the doctor she was consulting said that she had some hormonal problems due to which this discharge was there.We are afraid for her.Please suggest what we should do.Is mammography a right step??,"Hi. Thanks for your query and an elucidated history. Yes, this is due to hormonal changes. All the changes in the breast since puberty are all governed by hormones. So there is nothing to worry about. Yes mammography along with ultrasonography help in diagnosis. MRI is the best provided they have the facility specifically for breast. The lump should be diagnosed."
"Q:A 60-year-old man is brought to the emergency department 25 minutes after falling and hitting his left flank on a concrete block. He has severe left-sided chest pain and mild shortness of breath. He underwent a right knee replacement surgery 2 years ago. He has type 2 diabetes mellitus. He has smoked one pack of cigarettes daily for 42 years. Current medications include metformin, sitagliptin, and a multivitamin. He appears uncomfortable. His temperature is 37.5°C (99.5°F), pulse is 102/min, respirations are 17/min, and blood pressure is 132/90 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 96%. Examination shows multiple abrasions on his left flank and trunk. The upper left chest wall is tender to palpation and bony crepitus is present. There are decreased breath sounds over both lung bases. Cardiac examination shows no murmurs, rubs, or gallops. The abdomen is soft and nontender. Focused assessment with sonography for trauma is negative. An x-ray of the chest shows nondisplaced fractures of the left 4th and 5th ribs, with clear lung fields bilaterally. Which of the following is the most appropriate next step in management?? 
{'A': 'Continuous positive airway pressure', 'B': 'Prophylactic antibiotic therapy', 'C': 'Admission and surveillance in the intensive care unit', 'D': 'Adequate analgesia and conservative management', 'E': 'Internal fixation'},",D: Adequate analgesia and conservative management
"I seem to be getting a bad taste in my mouth due to my wisdom teeth , the thing is i had my wisdom tooth since i was 19 and it has never been a bother. A few weeks ago i had a small pain on my wisdom teeth but it came and go with no problem, and then after that i have been getting a really bad taste in my mouth but no pains what so ever, i have something orange when i look at it, i tried brushing my teeth and it wont come out, and i have no idea what it is but its giving me a really bad taste which i know its infection. But still what is it?","Hello and thank you for your question. Most likely you have an infection called peritonitis around the tooth.  The bad taste you are sensing is bacteria, food debris and exudate.  This infection can become quite painful.  It would be best to have your wisdom teeth taken out.  They are allowing a passage between your mouth to inside your bone putting you at risk for a very painful infection.  Best bet is that your taste would go away with the removal of the teeth. Best wishes and good health."
five year old daughter going on third day of high fever. she complains of neck pain and right lower back pain. she is not eating but taking little fluids also she is not out putting any fluids. been to doc twice this weed but say just viral infection but to me something just does not seem right.,"However and malaise (body ache) are initial presentation of viral fever. You have to see if she is fine in between fever spikes. If she is sick even when fever subsides it is a reason to worry. See if on bending neck forward is possible, or it causes pain. If these signs are positive immediately seek medical attention. If she is happy and playful when fever subsides you can wait as doctor said it is most likely viral fever."
"Yesterday afternoon, I think I had food poisoning. I started getting cramps/pain in the lower abdomen. I wasn t able to defecate. I began sweating. I threw up once and continued to have pains. In the evening, when I was finally able to deficate, I started bleeding from the rectum. The blood was light red and watery. Today I am still bleeding. The bleeding only occurs when I try to deficate. What should I do? What should I eat? Do I need to be concerned?","Hi. You need to be concerned as this is a cause of concern. The probable cause of your symptoms is gastroenteritis, colitis being severe enough to cause the bleeding you have.  I would suggest you the following"
"What is the role of the globus pallidus internus and the ventral lateral (VL) nucleus of the thalamus in the basal ganglia pathway, and how are they connected?","The globus pallidus internus is a structure within the basal ganglia pathway that plays a key role in regulating movement. When it is excited, it inhibits the activity of the ipsilateral ventral lateral (VL) nucleus of the thalamus, which is another structure involved in movement control. This inhibition helps to fine-tune motor output and prevent unwanted movements. The globus pallidus internus and the VL nucleus of the thalamus are connected through a complex network of neurons and neurotransmitters, and their interactions are essential for normal movement control. Dysfunction in this pathway can lead to movement disorders such as Parkinson's disease and dystonia."
Which infectious disease is commonly associated with focal segmental glomerulosclerosis?,HIV is an infectious disease that is commonly associated with focal segmental glomerulosclerosis.
"hello sir, I am farha from mumbai and i am really feeling upset now i think i have spoiled my life i am turing 23 and still have nothing to do in my life. i am yet not graduate and this thing worries me a lot. i dont know i will encourage myself for studies plz guide me i have only one close friend i am not a outgoing person i always stay at home and hardly talk to someone. i have my family by my side bt now i feel bad to spend time with them.","Degree understand your concerns went through your details. I suggest you not to worry much. I sincerely think that you are a victim of life disappointment. You have not given much of information therefore it may be difficult to diagnose your problem. I feel that you lack motivation and self-confidence. You say that you are 23, and you are yet to complete your degree. Why so? What makes you lag behind in your education career?. Are you able? So many questions need answer. For the time being, understand that LIFE IS LIKE THAT. Nothing happens as you wish, but you should always be hopeful and try again and again. Success should not be far away. If you are interested in more information in this regard, you may post a direct query for me.  Hope this answers your query. Available for further clarifications. Good luck."
"Hello, i have problem with my foreskin swell and red stains, besides everything there is a loop (like a ring made of rope) skin growing on the edge of the foreskin which creates the pressure on my glans while it is enlarged during intercourse. it is painful. Sometimes this this ring is coming off the foreskin and then a new ring is growing again. I don t know what it could be. My family practitioner said it could come from my wife, but she has no symptoms. I practically don t hav3 sexual life since it happened.",Thanks for asking in Chat Doctor forum In short
What is flow cytometry and how is it used in laboratory settings?,"Flow cytometry is a laboratory technique used to assess size, granularity, and protein expression of individual cells in a sample."
"I am having frequent chills, no fever. A few months ago, I had a CT because I had a concussion. Results indicated I had a chronic upper sinus congestion. Have had a lot of thick mucus drainage at back of throat, if I can cough it out, it is bloody and greenish looking. cskaercher","Thanks for your question on Chat Doctor. I can understand your situation and problem. In my opinion you should consult ENT doctor and get done nasal endoscopic examination to rule out chronic sinusitis. Because greenish, blood mixed mucus suggest possibility of 1. Fungal sinusitis 2. Nasal polyps 3. Early cancer 4. Chronic bacterial sinusitis. So nasal endoscopy is must for the diagnosis. You should also get done culture of nasal secretions for the diagnosis of causative organism. So consult ENT doctor and first diagnose yourself and then start appropriate treatment steam inhalation 5-6 times a day."
"Ive been having abdominal pain (mostly around the belly button area) for about 8 days.  Ive also been noticing a bad taste in my mouth for several days as well.  Today, I also have a low grade fever.  Anything here a cause for concern...or just to be written off as flu type symptoms?","Hi! Thanks for writing to Chat Doctor regarding your health concerns! Well, whenever someone approaches me with central abdominal pain especially mostly around the belly button area) for more than 7 days along with bad taste in mouth, I first like to know his/her age and sex and if any significant medical or surgical history! However, as per your description, it is possibly an infective / inflammatory condition like appendicitis, urinary tract infection, gut infection, intestinal gas formation or in worse case chronic pancreatitis.Therefore, a physical examination and USG of the lower abdomen is necessary before any medication!Therefore, don't worry but write to us with my queries or contact a local physician for detailed examination Hope you got your answer; please do not hesitate to write to us if still some confusion is there!all the best!"
"Q:A 9-year-old boy is brought to the emergency department by his parents with a 2-day history of weakness and joint pain. He was adopted 3 weeks ago from an international adoption agency and this is his first week in the United States. He says that he has been healthy and that he had an episode of sore throat shortly before his adoption. Physical exam reveals an ill-appearing boy with a fever, widespread flat red rash, and multiple subcutaneous nodules. The type of hypersensitivity seen in this patient's disease is also characteristic of which of the following diseases?? 
{'A': 'Asthma', 'B': 'Contact dermatitis', 'C': 'Goodpasture syndrome', 'D': 'Osteogenesis imperfecta', 'E': 'Serum sickness'},",C: Goodpasture syndrome
What is the typical progression of Wolff-Parkinson-White syndrome over time?,"Prognosis is generally excellent in asymptomatic WPW pattern. Catheter ablation (radiofrequency ablation) has a success rate between 95 - 98%, which varies depending on the location and number of accessory pathways. Successful ablation prevents future supraventricular tachyarrhythmia. Even patients with worse prognosis regain a good prognosis with treatment using radio-frequency ablation. The overall risk of death in patients with WPW syndrome reaches 0.15% every year. Patients with WPW pattern can remain asymptomatic through all their lives, nearly 65% of adolescents and 40% of adults present ECG changes but remain asymptomatic.  The risk of lethal arrhythmia in asymptomatic children is higher than adults.  Long-term mortality in adult patients with WPW syndrome is low and similar to control patients without WPW.  Long-term rates of atrial fibrillation in adult patients that present with WPW remains high despite ablation.  Increased risk of atrial fibrillation in ablated WPW patients may be related atrial fibrillation genesis."
i have been having severe abdominal pain off and on for several years now...i had a transplant in 09...the pain comes and goes but when i have it its unbearable...i have been to the er for it but they seem to not know whats causing it...any idea?,"HI. When you have a pain in abdomen, you should have consulted the operating team and the team which gives you the medicines for not allowing rejection to find out that these medicines are not causing this problem. Check for your Blood counts, particularly urea and creatinine. If this is normal you can undergo CT scan of the abdomen to see what is causing this pain. You may also can have a second opinion of a Gastroenterologist. This much care is important as you have gone through the transplant. Consult a specialist team."
Hi I have been having chest heaviness upper teeth is sore feel like throwing up I have axciety but I took my meds but it doesn t seem to help my head is hurting my let side of neck always cramp up I went to the dentist they did a filing but it still hurts what can it be,"Hello dear, thanks for your question on Chat Doctor. I can understand your situation and problem. It seems mostly anxiety related symptoms only. But better to rule out cardiac cause first for your left sided chest discomfort. So get done ECG to rule out cardiac cause. If ECG is normal than no need to worry much for cardiac cause. It is anxiety related only. I advise you to consult psychiatrist and get done counselling sessions. Try to identify stressors in your life and start working on it. Newer anxiolytic Chat Doctor.  You may need these too. Better to avoid stress and tension. Be relax and calm.Don't worry, you will be alright."
Hi I have a brown rash that looks like a fungusit isn t circular but it is kinda like little brown bumps in some spots but it is between my breast behind my ears andd between my upper thighs and on my puboc region it dosent itch its just there and it has gotten much more noticable I have had it since I was really young and never like this my husband says it is really bad between my legs he says it looks like im black down there I know it sounds weird im sorry to describe it like that do u have any ideas o what I can do to get rid of this between my breast these bumps that are like pimples will come up and I have tried popping them but they dobt pop just scar and there are no bumps between my legs,"Hi, It seems that you may be having seborrhea dermatitis. You are having dark greasy popular lesions in seborrhea areas. Exact cause is not known. It may BAE due to stress, worries and mental upsets, weather extremes, alcohol,some internal disease, fatigue.etc It may be due to overproduction of oil and irritation due to fungus like Melanesia. Diagnosis is based on location and appearance of the rash.SD is chronic disease and controlled with treatment. Psychological distress, bacterial and fungal infections are the complications. You consult dermatologist for perfect diagnosis and treatment. I hope you got my answer. Thanks."
"My son aged 11yrs is a premature kid with delayed milestone,now he is taking physiotherapy for his legs,he ismuch good with his IQ. As he had a severe headache and vomitting our doctor suggested to take mri where the finding says PERIVENTRICULAR LEUKOMALACIA.PLS EXPLAIN","Hi there, Thanks for using Chat Doctor. A fluid called cerebrospinal fluid circulates inside the brain and spinal cord. In the brain it flows through spaces called ventricles. There are four ventricles in the brain there types of tissues white matter and gray matter. In leukoplakia, the white matter is damaged. In periventricular leukoplakia, the white matter around the lateral ventricles is damaged. This injury is more common in preterm babies. This may affect development or can cause symptoms like vision defect and seizures. Is this answer helpful?"
"Smoked about 25.00 til noon today i drink lots of fluids bcuz of my kidneys policystic kidney disease and pre diabetes .drank water,tea,milk, & dr pepper .weight 225,height 6 1 .how long do u think it wil be in my system.have to see po tomorrow.ive drank about a gallon of water, a gallon of tea already since this afternoon i pea about every hour due to my kidney problem.plz let me know if more fluids are good or bad.","Hi, welcome to Chat Doctor. Polycystic kidney is genetic disorder. Water intake may delay progression of disease. You should maintain water intake to keep your urine output~ 2.5 L per day. Excessive water intake will not benefit more, but it can lower your S. Na (sodium) level. To prevent progression, keep your blood pressure under control. Keep regular follow up with your Nephrologist and do basic tests for kidney function. I think this would be helpful to you. Best wishes. TC."
What is the potential effect of Class III antiarrhythmic drugs on the heart rhythm of patients with atrial fibrillation and flutter?,"Class III antiarrhythmic drugs have the potential to restore and maintain normal sinus rhythm in patients with atrial fibrillation and flutter. These drugs work by prolonging the action potential duration of cardiac muscle cells, which can help to stabilize the heart's electrical activity and prevent the development of arrhythmias. However, the use of these drugs must be carefully monitored to ensure that they do not cause additional side effects or exacerbate the patient's underlying condition."
When to seek urgent medical care when I have Vitiligo ?,"Call for an appointment with your health care provider if areas of your skin lose their coloring for no reason (for example, there was no injury to the skin)."
"What is the diagnostic criterion for Trypanosoma brucei infection, and what is the location where this criterion is typically observed?","The diagnostic criterion for Trypanosoma brucei infection is the presence of trypomastigotes, and this criterion is typically observed on a blood smear."
"We are trying to conceive, I am on ay 49 without a period, but 3x -ve pregnany tests. Last cycle was 45 days, 29 before that, then 3 x 35 before that. Being trying for nearly a year, am 35 yrs old. Ovulation sticks have shown -ve everytime. Had initial blood tests, all normal . Waiting for appotinment for pelvic ultrasound . In the meantime, what can I do to bring my period on? I don t feel stressed, but suspect I am by this whole mess!","Hello. Thanks for writing to us. If the ovulation sticks have come negative every time, then pregnancy is unlikely. The delay in your periods is likely to be due to a hormonal imbalance. You need hormonal tablets of synthetic progesterone to have a with Chat Doctor. I hope this information has been both informative and helpful for you. You can consult me again directly through my profile URL http"
What are some examples of foods that are good sources of Vitamin B9 (folate)?,"Vitamin B9, also known as folate, is an important nutrient that can be found in a variety of foods. Some of the best dietary sources of folate include leafy green vegetables such as spinach, kale, and collard greens. Other good sources of folate include fruits such as oranges and bananas, as well as beans, lentils, and fortified grains such as breads and cereals. It is important to consume a balanced diet that includes a variety of these foods in order to ensure adequate intake of folate and other essential nutrients."
This problem happened to my friend  years ago after doing heavy yard work. On Sat. last week he lifted weights...something he normally does. For a couple of days now its been hurting him in the middle of his back whenever he eats.  Did he pull a muscle or what?,"Hi, Thanks for your query. After going through your query I came to know that your friend got pain in middle of back, it hurt only when he eats. It does not seem to be related to muscle or bone. As it is related to food, it is gastrointestinal pain likely radiating to back. It is likely to be due to acidity. Pantoprazole before meals is likely to help. He should not eat foods and fried food. He can be further investigated by doing ultrasound of abdomen. You can discuss with your treating Doctor about it. I do hope that you have found something helpful. If you have additional questions or follow-up queries then please do not hesitate in writing to us. I will be happy to answer your queries. Wishing you good health. Take care."
"Hi there i am 15 and i have seen several doctors about my chest. Ive had an EKG, Chest X-Ray, Blood work in which all came back perfectly fine. I am a female. All of the doctors said i have severe anxiety. But however my abdomin hurts when i eat. So far every night and alot of the dy i feel like its VERY hard to breathe. Its constant and however does not stop i do not know what could be causing it. Uhmm i go to the doctor again February 17 should i do something. They said i might have some GERD but im taking antacids and they however arent working niether is the ibuprofen. Im currently taking melatonin to sleep. Please help me!!!!!!","Hi, Thanks for writing to Chat Doctor. Yes, it does look like herd....and antacids won't help you with that...you need to start on a combination of a PPI and levosulpride... PPI to reduce the acid production and the latter to prevent reflux...also you need to avoid tea, coffee, soda Chat Doctor. . Also eat small and frequent meals and don't lie down for an hour after a meal...while sleeping put two pillows below your head....and finally get an endoscopy done to confirm herd and rule out hiatus hernia..."
"Hi,I had a miscarriage(blighted ovum) about 3 weeks ago. My cramping only lasted about 3 days and my bleeding lasted for a week. I havent seen any bleeding since then but this past week Ive been experiencing pressure in my lower abdomen and pregnancy symptoms. Should I be concerned??","Hallow Dear, I hope the diagnosis was confirmed by ultrasonography. I am not sure whether your termination of pregnancy happened naturally or you had to have surgical/medical intervention. If it was natural termination, there is a possibility that some parts of products could have remained inside the uterus causing infection and giving you the current feeling. Ultrasonography can help you to diagnose this. If so, evacuation of the uterus under antibiotic umbrella will help you. The possibility of mistaken diagnosis of blighted ovum and growing pregnancy has to be ruled out. The other possibility is the growth of chorionic tissue tumors - either molar pregnancy or choriocarcimnoma. Former will need surgical evacuation while the later can be definitely treated and cured completely by medicines. Please get your pregnancy test and/or Chat Doctor levels done. High Chat Doctor levels indicate these conditions. Along with pregnancy test, ultrasonography will help to clinch the diagnosis. Considering your pregnancy symptoms, I strongly feel, you should get urine tested for pregnancy initially, followed by Chat Doctor levels if indicated. Also get urine examination done to find out any evidence of infection. If found, will have to be treated by appropriate antibiotics. Please report to your Obstetrician for all this work up and the required treatment. Take care please,"
I have had pain in neck region and shoulders for months now. I ccant turn my neck all the way to the right and I have a hard time sleeping at night. My shoulders are more painful at night and my arms go numb during sleep. Is this a shoulder issue or spinal issue? I want to make a dr appointment but not sure who to see.,"Hello, As this sounds like a cervical spine nerve root entrapment so does the symptoms. I will advise taking an MRI. Post which we can plan the treatment. Treatment included - neck stabilization by using the cervical soft collar, hot water fermentation for the neck, upper back, and shoulder.  Post having this, doing simple neck stabilization exercise like static neck exercises and range of motion exercise will be helpful.  Also, shoulder stabilization exercises, inter-scapular muscle strengthening exercises, upper limb strengthening exercises will help to reduce the symptoms to a greater extent. Hope I have answered your query. Let me know if I can assist you further. Take care Jay In Chat Doctor."
